,Dominant_Topic,Topic_Perc_Contrib,Keywords,Abstract
0,7.0,0.9506000280380249,"sql, excel, databas, function, analysi, requir, descript, queri, show, formula","Use SQL to query a database Use SQL to perform data analysis Be comfortable putting SQL and PostgreSQL on their resume Learn to perform GROUP BY statements Replicate real world situations and query reports Requirements No prior technical experience is required  All you need a computer  Description Learn how to use SQL quickly and effectively with this course! You'll learn how to read and write complex queries to a database using one of the most in demand skills - PostgreSQL. These skills are also applicable to any other major SQL database, such as MySQL, Microsoft SQL Server, Amazon Redshift, Oracle, and much more. Learning SQL is one of the fastest ways to improve your career prospects as it is one of the most in demand tech skills! In this course you'll learn quickly and receive challenges and tests along the way to improve your understanding! In this course you will learn everything you need to become a SQL Pro! Including: Get started with PostgreSQL and PgAdmin , two of the world's most popular SQL tools Learn he basics of SQL syntax Show more"
1,9.0,0.9075999855995178,"tableau, power, visual, bi, dashboard, chart, busi, analyt, report, requir","Install Tableau Desktop 2020 Connect Tableau to various Datasets  Excel and CSV files Create Barcharts Create Area Charts Create Maps Create Scatterplots Create Piecharts Create Treemaps Create Interactive Dashboards Create Storylines Understand Types of Joins and how they work Work with Data Blending in Tableau Create Table Calculations Work with Parameters Show more Requirements Basic knowledge of computers Description Learn data visualization through Tableau 2020 and create opportunities for you or key decision-makers to discover data patterns such as customer purchase behavior, sales trends, or production bottlenecks. You'll learn all of the features in Tableau that allow you to explore, experiment with, fix, prepare, and present data easily, quickly, and beautifully. Use Tableau to Analyze and Visualize Data So You Can Respond Accordingly Connect Tableau to a Variety of Datasets Analyze, Blend, Join, and Calculate Data Visualize Data in the Form of Various Charts, Plots, and Maps Convert Raw Data Into Compelling Data Visualizations Using Tableau 2020 Show more"
2,9.0,0.9864000082015991,"tableau, power, visual, bi, dashboard, chart, busi, analyt, report, requir","At the end of this course students will be able to analyse data from different data sources and create their own datasets Students will be able to comfortably work with the different tools of the Power BI universe and know how the different tools work together Students will have the required knowledge to dive deeper into Power BI and find out more about its advanced features Requirements For the majority of the course you must have a computer with Windows as operating system Basic understanding of data analysis is a plus but not required For multiple modules of this course a work or school email address is required to sign up Description [This course was completely updated (= re-recorded) to reflect all the latest Power BI Desktop, Power BI Pro (Service) and Power BI Mobile updates that took place recently. Enjoy this 100% up-to-date course] --- You want to analyze data from single or multiple sources? You want to create your individual datasets based on these sources and transform your results into beautiful and easy-to-make visualizations? You also want to share your results with colleagues or collaborate on your projects? Finally, you want to be able to access your data from multiple devices? Then the Power BI tools are the tools to choose for you! In this course you will learn why Power BI offers you a comprehensive set of Business Intelligence tools for your data analysis goals and how to use these tools to fulfill all of the above tasks - and more. Imagine to quickly , to easily to it and to in just a few minutes.    Show more"
3,9.0,0.7745000123977661,"tableau, power, visual, bi, dashboard, chart, busi, analyt, report, requir","Build professional quality business intelligence reports from the ground up Blend and transform raw data into beautiful interactive dashboards Design and implement the same B I  tools used by professional analysts and data scientists Showcase your skills with two full scale course projects  with step by step solutions  Understand the business intelligence workflow from end to end Learn from a best selling instructor and professional BI developer Requirements Microsoft Power BI Desktop  free download  This course is designed for PC Windows users  currently not available for Mac  Experience with Excel Power Query  Power Pivot   DAX is a plus  but not required Description Hear why this is one of the TOP-RATED Power BI courses on Udemy: ""Instructor is top notch - moves at the right pace and keeps it interesting. Best Power BI course on Udemy!"" -Adam Edwards ""Resources are awesome. Presenter is brilliant. I found this course more useful than the offical Power BI course from Microsoft. Things are easy to follow, and presentations are of high quality."" -Jacobus M. ""Chris is a skilled communicator and does a great job of explaining a complex tool like Microsoft Power BI. His 'pro-tips' are great for new user productivity and gaining a sense of the big picture, and I value his best practices on building and managing Power BI queries and reports. I'm feeling much more confident to dig in and use Power BI on my own projects!"" Show more"
4,5.0,0.436599999666214,"busi, analysi, requir, python, learn, r, descript, process, problem, show","Become an expert in Statistics  SQL  Tableau  and problem solving Boost your resume with in demand skills Gather  organize  analyze and visualize data Use data for improved business decision making Present information in the form of metrics  KPIs  reports  and dashboards Perform quantitative and qualitative business analysis Analyze current and historical data Discover how to find trends  market conditions  and research competitor positioning Understand the fundamentals of database theory Use SQL to create  design  and manipulate SQL databases Show more Requirements No prior experience is required  We will start from the very basics You ll need to install MySQL  Tableau Public  and Anaconda  We will show you how to do it step by step Microsoft Excel 2003  2010  2013  2016  or 365 Description Hi! Welcome to The Business Intelligence Analyst Course, the only course you need to become a BI Analyst.  We are proud to present you this one-of-a-kind opportunity. There are several online courses teaching some of the skills related to the BI Analyst profession. The truth of the matter is that none of them completely prepare you. Our program is different than the rest of the materials available online.   It is truly comprehensive. The Business Intelligence Analyst Course comprises of several modules:   Introduction to Data and Data Science   Statistics and Excel   Database theory   Show more"
5,5.0,0.9883000254631042,"busi, analysi, requir, python, learn, r, descript, process, problem, show","Business Analysis basics   learn what a Business Analyst is  what they do  and how they do it A breakdown of six project methodologies including traditional Waterfall and Agile frameworks Learn how to properly initiate a project by creating a business case that aligns with the business objectives Understand the basics of project requirements and six of the popular techniques used to elicit those details from your stakeholders Gain an overview of various modeling diagrams to help you recognize and understand project documentation Conduct requirement specification   including categorizing  deriving  breaking apart   prioritizing  and validating Have the confidence to successfully facilitate requirements approval meetings Requirements This course covers all of the fundamentals   no prior knowledge is required Description THE ULTIMATE FOUNDATIONAL COURSE – LEARN THE CORE BUSINESS ANALYSIS KNOWLEDGE YOU CAN BUILD UPON AND START YOUR BUSINESS ANALYST CAREER THE RIGHT WAY. Set yourself up for success and learn the key concepts you’ll need to thrive in your Business Analyst career! With over 10 years working as, hiring, and managing Business Analysts, I’ve gained a lot of valuable experience and knowledge. And today, I want to share that information with you. I’ll help you take the first step in a long and productive career in business analysis. In this course, I have condensed everything I’ve learned in all my years working in the industry into a comprehensive guide to the basic elements that make up the most important tool in any Business Analyst’s career – your foundational knowledge.       Show more"
6,7.0,0.4788999855518341,"sql, excel, databas, function, analysi, requir, descript, queri, show, formula","Become an expert in SQL Learn how to code in SQL Boost your resume by learning an in demand skill Create  design  and operate with SQL databases Start using MySQL   the  1 Database Management System Prepare for SQL developer  Database administrator  Business Analyst  and Business Intelligence job opportunities Adopt professionally tested SQL best practices Gain theoretical insights about relational databases Work with a sophisticated real life database throughout the course Get maximum preparation for real life database management Show more Requirements No prior experience is required  We will start from the very basics Description How important is database management in the age of big data and analytics? It is really important.     How many employers would be happy to hire employees who can use data for the purposes of business intelligence?    All of them.   How many people have these skills? Not enough.   This is why now is the time to learn SQL and gain a competitive advantage in the job market. Remember, the average salary of a SQL developer is $92,000! That’s a lucrative career.            Show more"
7,3.0,0.9908000230789185,"googl, requir, studio, descript, analyt, queri, databas, knowledg, show, sql","Design distributed systems that manage  big data  using Hadoop and related technologies  Use HDFS and MapReduce for storing and analyzing data at scale  Use Pig and Spark to create scripts to process data on a Hadoop cluster in more complex ways  Analyze relational data using Hive and MySQL Analyze non relational data using HBase  Cassandra  and MongoDB Query data interactively with Drill  Phoenix  and Presto Choose an appropriate data storage technology for your application Understand how Hadoop clusters are managed by YARN  Tez  Mesos  Zookeeper  Zeppelin  Hue  and Oozie  Publish data to your Hadoop cluster using Kafka  Sqoop  and Flume Consume streaming data using Spark Streaming  Flink  and Storm Requirements You will need access to a PC running 64 bit Windows  MacOS  or Linux with an Internet connection and at least 8GB of  free   not total  RAM  if you want to participate in the hands on activities and exercises  If your PC does not meet these requirements  you can still follow along in the course without doing hands on activities  Some activities will require some prior programming experience  preferably in Python or Scala  A basic familiarity with the Linux command line will be very helpful  Description The world of Hadoop and ""Big Data"" can be intimidating - hundreds of different technologies with cryptic names form the Hadoop ecosystem. With this Hadoop tutorial, you'll not only understand what those systems are and how they fit together - but you'll go hands-on and learn how to use them to solve real business problems! Learn and master the most popular big data technologies in this comprehensive course, taught by a former engineer and senior manager from Amazon and IMDb. We'll go way beyond Hadoop itself, and dive into all sorts of distributed systems you may need to integrate with. Install and work with a real Hadoop installation right on your desktop with Hortonworks (now part of Cloudera) and the Ambari UI Manage big data on a cluster with HDFS and MapReduce Write programs to analyze data on Hadoop with Pig and Spark   Show more"
8,6.0,0.880299985408783,"model, analysi, regress, statist, analyt, descript, requir, test, techniqu, knowledg","Understand supervised machine learning  classification and regression  with real world examples using Scikit Learn Understand and code using the Numpy stack Make use of Numpy  Scipy  Matplotlib  and Pandas to implement numerical algorithms Understand the pros and cons of various machine learning models  including Deep Learning  Decision Trees  Random Forest  Linear Regression  Boosting  and More  Requirements Understand linear algebra and the Gaussian distribution Be comfortable with coding in Python You should already know  why  things like a dot product  matrix inversion  and Gaussian probability distributions are useful and what they can be used for Description Welcome! This is Deep Learning, Machine Learning, and Data Science Prerequisites: The Numpy Stack in Python. One question or concern I get a lot is that people want to learn deep learning and data science, so they take these courses, but they get left behind because they don’t know enough about the Numpy stack in order to turn those concepts into code. Even if I write the code in full, if you don’t know Numpy, then it’s still very hard to read. This course is designed to remove that obstacle - to show you how to do things in the Numpy stack that are frequently needed in deep learning and data science. So what are those things? Numpy. This forms the basis for everything else.  The central object in Numpy is the Numpy array, on which you can do various operations.    Show more"
9,5.0,0.7422999739646912,"busi, analysi, requir, python, learn, r, descript, process, problem, show","Learn how to get into the Agile mindset and achieve success in helping organizations evolve Command a strong focus on delivering customer value and exceeding expectations Master popular Agile frameworks Scrum  Kanban  and Scrumban  enabling you to land and excel in any Agile position Explore fun  interactive  and highly effective lessons from best selling instructors Assist with your organization s current  or future  transformation to Agile Requirements No experience is necessary   this course will teach you Agile concepts from the ground up  Description Make yourself a more valuable member of the team by learning how to help organizations make changes faster and with less expense by using Agile approaches. In nature, as in business – you adapt, or you die… And with over 70% of companies using Agile for their projects, not knowing the fundamental concepts, principles, and values just isn’t an option anymore. This course will not only teach you the fundamentals of Agile to help you develop the adaptive mindset, but it will also break down the most popular Agile frameworks such as Scrum, Kanban, and Scrumban. That includes: - Agile Values - Agile Principles - Benefits of Agile - Challenges - Roles in Agile - User Stories - Scrum Framework - Sprints - Scrum Ceremonies - Product Backlog - Sprint Backlog - Estimation Techniques - Team Velocity - Burndown Charts - Burn Up Charts - Kanban Principles - Setting Work in Progress (WIP) Limits - Kanban Boards ...               Show more"
