,Dominant_Topic,Topic_Perc_Contrib,Keywords,Abstract
0,3.0,0.703000009059906,"busi, analyt, manag, experi, year, show, project, compani, consult, scienc","  Jose Marcial Portilla has a BS and MS in Mechanical Engineering from Santa Clara University and years of experience as a professional instructor and trainer for Data Science and programming. He has publications and patents in various fields such as microfluidics, materials science, and data science technologies. Over the course of his career he has developed a skill set in analyzing data and he hopes to use his experience in teaching and data science to help other people learn the power of programming the ability to analyze data, as well as present the data in clear and beautiful visualizations. Currently he works as the Head of Data Science for Pierian Data Inc. and provides in-person data science and python programming training courses to employees working at top companies, including General Electric, Cigna, The New York Times, Credit Suisse, McKinsey and many more. Feel free to contact him on LinkedIn for more information on in-person training sessions or group training sessions in Las Vegas, NV. Show more"
1,0.0,0.9437000155448914,"scienc, cours, univers, show, market, technolog, analyt, experi, team, year","Hi there, We are the Ligency PR and Marketing team. You will be hearing from us when new courses are released, when we publish new podcasts, blogs, share cheatsheets and more! We are here to help you stay on the cutting edge of Data Science and Technology. See you in class, Show more"
2,9.0,0.8348000049591064,"softwar, develop, cours, analysi, tool, web, way, analyt, lot, world",Experience as (Web) Developer Starting out at the age of 13 I never stopped learning new programming skills and languages. Early I started creating websites for friends and just for fun as well. Besides web development I also explored Python and other non-web-only languages. This passion has since lasted and lead to my decision of working as a freelance web developer and consultant. The success and fun I have in this job is immense and really keeps that passion burningly alive. Show more
3,6.0,0.7408000230789185,"busi, analyt, tableau, intellig, power, year, manag, client, experi, show","Aaron is a professional analytics consultant and Power BI expert, with 10+ years working in business intelligence and marketing analytics. He's an instructor, coach and mentor for aspiring analysts, and has deep experience helping companies develop and implement full-stack BI solutions. Aaron is the Head of Student Success at Maven Analytics, a leader in analytics education, whose mission is to empower everyday people to change the world with data."
4,1.0,0.9779999852180481,"financ, analyt, cours, career, firm, analysi, student, countri, show, account","365 Careers is the #1 best-selling provider of finance courses on Udemy. The company’s courses have been taken by more than 1,000,000 students in 210 countries. People working at world-class firms like Apple, PayPal, and Citibank have completed 365 Careers trainings.   Currently, the firm focuses on the following topics on Udemy:   1) Finance – Finance fundamentals, Financial modeling in Excel, Valuation, Accounting, Capital budgeting, Financial statement analysis (FSA), Investment banking (IB), Leveraged buyout (LBO), Financial planning and analysis (FP&A), Corporate budgeting, applying Python for Finance, Tesla valuation case study, CFA, ACCA, and CPA Show more"
5,3.0,0.9726999998092651,"busi, analyt, manag, experi, year, show, project, compani, consult, scienc","Come learn with more than 200,000 students Hi there! My name is Jeremy Aschenbrenner and I am so glad you have found me! I am a veteran Business Analyst with more than 1000 completed projects. I've done business analysis work for companies in many industries including health care, telecommunications, automotive, trucking, consumer goods, financial services, food and beverage, and more. I created The BA Guide to break down the barriers to becoming a Business Analyst. Throughout our various courses, I teach you what you need to know in order to start your Business Analyst career.   Show more"
6,1.0,0.9779999852180481,"financ, analyt, cours, career, firm, analysi, student, countri, show, account","365 Careers is the #1 best-selling provider of finance courses on Udemy. The company’s courses have been taken by more than 1,000,000 students in 210 countries. People working at world-class firms like Apple, PayPal, and Citibank have completed 365 Careers trainings.   Currently, the firm focuses on the following topics on Udemy:   1) Finance – Finance fundamentals, Financial modeling in Excel, Valuation, Accounting, Capital budgeting, Financial statement analysis (FSA), Investment banking (IB), Leveraged buyout (LBO), Financial planning and analysis (FP&A), Corporate budgeting, applying Python for Finance, Tesla valuation case study, CFA, ACCA, and CPA Show more"
7,5.0,0.59170001745224,"account, área, show, busi, year, manag, excel, paula, field, cours","Frank spent 9 years at Amazon and IMDb, developing and managing the technology that automatically delivers product and movie recommendations to hundreds of millions of customers, all the time. Frank holds 17 issued patents in the fields of distributed computing, data mining, and machine learning. In 2012, Frank left to start his own successful company, Sundog Software, which focuses on virtual reality environment technology, and teaching others about big data analysis. Due to our volume of students, I am unable to respond to private messages; please post your questions within the Q&A of your course. Thanks for understanding."
8,9.0,0.96670001745224,"softwar, develop, cours, analysi, tool, web, way, analyt, lot, world","Today, I spend most of my time as an artificial intelligence and machine learning engineer with a focus on deep learning, although I have also been known as a data scientist, big data engineer, and full stack software engineer. I received my masters degree in computer engineering with a specialization in machine learning and pattern recognition. Experience includes online advertising and digital media as both a data scientist (optimizing click and conversion rates) and big data engineer (building data processing pipelines). Some big data technologies I frequently use are Hadoop, Pig, Hive, MapReduce, and Spark. Show more"
9,3.0,0.810699999332428,"busi, analyt, manag, experi, year, show, project, compani, consult, scienc","Hi there, We are Vivek and Pabitra, co-founders of The Agile Coach. Nice to meet you! We are seasoned professional with experience in Agile Coaching, Business Analysis, Product Management, and Technology/Business Consulting in domains like IT, Financial Technology, Healthcare, Sales and Distribution, E-commerce, and Communications. We are passionate about sharing our knowledge, expertise, and experience that we have gained from working in 10+ multinational companies and multiple startups. We are life-long learners and entrepreneurs. We believe learning and education should be made accessible to everyone & it should be fun.     Show more"
10,0.0,0.3628000020980835,"scienc, cours, univers, show, market, technolog, analyt, experi, team, year","        Hi there! I'm Peter and work here at Udemy on the Data Science team. I am focused on data analytics for the growth marketing team.          I graduated from Stanford University and started working at Udemy in the Summer of 2013. I initially came in as a support team member for the Instructor team. I helped instructors as they went through all stages of thinking about, creating and managing their courses. Since the Udemy team was quite small (~35 people) everyone was responsible for taking ownership of their part of the business and making sure that things were running smoothly.  Show more"
11,0.0,0.9437000155448914,"scienc, cours, univers, show, market, technolog, analyt, experi, team, year","Hi there, We are the Ligency PR and Marketing team. You will be hearing from us when new courses are released, when we publish new podcasts, blogs, share cheatsheets and more! We are here to help you stay on the cutting edge of Data Science and Technology. See you in class, Show more"
