,name,seller,price,original_price,lectures,hours,level,enrollment,rating,num_ratings,five_stars,four_stars,three_stars,two_stars,hours_ondemand_video,downloadable_resources,last_update_date,instructor_title,instructor_job_title,instructor_rating,instructor_no_reviews,instructor_no_students,instructor_no_courses,review_index
0,the-complete-sql-bootcamp/,Jose Portilla,25.99,179.99,83,9.0,All Levels,342288.0,4.7,91772.0,0.6,0.33,0.06,0.01,9.0,14.0,2020-10-01,Jose Portilla,"Head of Data Science, Pierian Data Inc.",4.6,712729.0,2179902.0,31.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
1,tableau10/,Kirill Eremenko  SuperDataScience Team,16.99,124.99,82,9.0,All Levels,231631.0,4.6,61533.0,0.6,0.33,0.06,0.01,9.0,6.0,2021-02-01,Ligency Team,Helping Data Scientists Succeed,4.5,429183.0,1472140.0,48.0,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
2,powerbi-complete-introduction/,Manuel Lorenz  Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,12.99,94.99,275,23.5,Beginner,148077.0,4.6,43339.0,0.54,0.38,0.07,0.01,23.5,26.0,2020-11-01,Maximilian Schwarzmüller,Professional Web Developer and Instructor,4.6,564184.0,1335299.0,35.0,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]"
3,microsoft-power-bi-up-running-with-power-bi-desktop/,Maven Analytics  Chris Dutton  Aaron Parry,19.99,139.99,117,11.0,All Levels,109303.0,4.6,30899.0,0.61,0.33,0.06,0.01,10.5,14.0,2021-02-01,Aaron Parry,Professional Business Intelligence Trainer & Consultant,4.6,34377.0,438163.0,3.0,"[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]"
4,the-business-intelligence-analyst-course-2018/,365 Careers,12.99,94.99,413,20.5,All Levels,136869.0,4.5,28595.0,0.52,0.37,0.1,0.01,20.0,151.0,2020-11-01,365 Careers,Creating opportunities for Business & Finance students,4.5,385370.0,1322640.0,68.0,"[48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
5,business-analysis-ba/,The BA Guide   Jeremy Aschenbrenner,14.99,109.99,68,8.5,Beginner,92823.0,4.5,26622.0,0.51,0.38,0.1,0.01,8.5,12.0,2020-10-01,The BA Guide | Jeremy Aschenbrenner,Business Analyst Trainer and Coach | Best Selling Instructor,4.5,71605.0,220380.0,15.0,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71]"
6,sql-mysql-for-data-analytics-and-business-intelligence/,365 Careers,12.99,94.99,286,10.0,All Levels,95279.0,4.6,25521.0,0.56,0.36,0.07,0.01,9.5,154.0,2021-01-01,365 Careers,Creating opportunities for Business & Finance students,4.5,385370.0,1322068.0,68.0,"[72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83]"
7,the-ultimate-hands-on-hadoop-tame-your-big-data/,Sundog Education by Frank Kane  Frank Kane,16.99,119.99,101,14.5,All Levels,125508.0,4.5,23179.0,0.56,0.34,0.08,0.01,14.5,7.0,2021-02-01,Frank Kane,"Founder, Sundog Education",4.5,94207.0,394788.0,14.0,"[84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95]"
8,deep-learning-prerequisites-the-numpy-stack-in-python/,Lazy Programmer Inc ,13.99,19.99,50,6.0,All Levels,240779.0,4.6,18835.0,0.58,0.32,0.08,0.01,6.0,0.0,2020-11-01,Lazy Programmer Inc.,Artificial intelligence and machine learning engineer,4.6,107488.0,421158.0,28.0,"[96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107]"
9,agile-fundamentals-scrum-kanban-scrumban/,The BA Guide   Jeremy Aschenbrenner  Vivek   Pabitra Khattri,19.99,139.99,88,4.5,All Levels,66639.0,4.4,15596.0,0.42,0.42,0.13,0.02,4.5,9.0,2020-11-01,Vivek & Pabitra Khattri,Coach & Instructor @ The Agile Coach,4.4,17353.0,73229.0,5.0,"[108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119]"
10,sql-for-newbs/,A Course You ll Actually Finish  David Kim  Peter Sefton,21.99,149.99,39,3.5,All Levels,62884.0,4.3,12750.0,0.47,0.35,0.13,0.03,3.5,9.0,2020-04-01,Peter Sefton,Data Scientist at Udemy,4.3,12750.0,62885.0,1.0,"[120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131]"
11,tableau10-advanced/,Kirill Eremenko  SuperDataScience Team,16.99,124.99,74,10.0,Intermediate,69872.0,4.7,12083.0,0.63,0.31,0.05,0.01,10.0,5.0,2021-02-01,Ligency Team,Helping Data Scientists Succeed,4.5,437798.0,1472201.0,48.0,"[132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143]"
12,tableau-accelerate-your-career-and-get-certified/,Lukas Halim,15.99,39.99,124,6.5,Beginner,46062.0,4.6,12028.0,0.51,0.37,0.1,0.01,6.0,46.0,2021-02-01,Lukas Halim,Analytics Professional,4.6,14076.0,51144.0,2.0,"[144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155]"
13,mspowerbi/,Kirill Eremenko  SuperDataScience Team,13.99,99.99,44,4.5,All Levels,77619.0,4.4,11517.0,0.48,0.38,0.11,0.02,4.5,4.0,2021-02-01,Ligency Team,Helping Data Scientists Succeed,4.5,437797.0,1472383.0,48.0,"[156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167]"
