id	name	link	seller	price	original_price	lectures	hours	level	Sat Jan 23 18:56:08 2021
1	the-complete-sql-bootcamp/	https://www.udemy.com/course/the-complete-sql-bootcamp/	Jose Portilla	25.99	179.99	83	9	All Levels	
2	tableau10/	https://www.udemy.com/course/tableau10/	Kirill Eremenko  SuperDataScience Team	16.99	124.99	82	9	All Levels	
3	powerbi-complete-introduction/	https://www.udemy.com/course/powerbi-complete-introduction/	Manuel Lorenz  Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller	12.99	94.99	275	23.5	Beginner	
4	microsoft-power-bi-up-running-with-power-bi-desktop/	https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/	Maven Analytics  Chris Dutton  Aaron Parry	19.99	139.99	117	11	All Levels	
5	the-business-intelligence-analyst-course-2018/	https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/	365 Careers	12.99	94.99	413	20.5	All Levels	
6	business-analysis-ba/	https://www.udemy.com/course/business-analysis-ba/	The BA Guide   Jeremy Aschenbrenner	14.99	109.99	68	8.5	Beginner	
7	sql-mysql-for-data-analytics-and-business-intelligence/	https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/	365 Careers	12.99	94.99	286	10	All Levels	
8	the-ultimate-hands-on-hadoop-tame-your-big-data/	https://www.udemy.com/course/the-ultimate-hands-on-hadoop-tame-your-big-data/	Sundog Education by Frank Kane  Frank Kane	16.99	119.99	101	14.5	All Levels	
9	deep-learning-prerequisites-the-numpy-stack-in-python/	https://www.udemy.com/course/deep-learning-prerequisites-the-numpy-stack-in-python/	Lazy Programmer Inc 	13.99	19.99	50	6	All Levels	
10	agile-fundamentals-scrum-kanban-scrumban/	https://www.udemy.com/course/agile-fundamentals-scrum-kanban-scrumban/	The BA Guide   Jeremy Aschenbrenner  Vivek   Pabitra Khattri	19.99	139.99	88	4.5	All Levels	
11	sql-for-newbs/	https://www.udemy.com/course/sql-for-newbs/	A Course You ll Actually Finish  David Kim  Peter Sefton	21.99	149.99	39	3.5	All Levels	
12	tableau10-advanced/	https://www.udemy.com/course/tableau10-advanced/	Kirill Eremenko  SuperDataScience Team	16.99	124.99	74	10	Intermediate	
13	tableau-accelerate-your-career-and-get-certified/	https://www.udemy.com/course/tableau-accelerate-your-career-and-get-certified/	Lukas Halim	15.99	39.99	124	6.5	Beginner	
14	mspowerbi/	https://www.udemy.com/course/mspowerbi/	Kirill Eremenko  SuperDataScience Team	13.99	99.99	44	4.5	All Levels	
15	build-your-blockchain-az/	https://www.udemy.com/course/build-your-blockchain-az/	Hadelin de Ponteves  Kirill Eremenko  SuperDataScience Team	12.99	94.99	97	14.5	All Levels	
